temperature	V(ntc)
7.480000000001246e+01	1.933080e-01
7.490000000001248e+01	1.928530e-01
7.500000000001251e+01	1.923990e-01
7.510000000001253e+01	1.919461e-01
7.520000000001255e+01	1.914942e-01
7.530000000001257e+01	1.910433e-01
7.540000000001260e+01	1.905934e-01
7.550000000001262e+01	1.901446e-01
7.560000000001264e+01	1.896967e-01
7.570000000001266e+01	1.892499e-01
7.580000000001269e+01	1.888041e-01
7.590000000001271e+01	1.883594e-01
7.600000000001273e+01	1.879156e-01
7.610000000001276e+01	1.874729e-01
7.620000000001278e+01	1.870312e-01
7.630000000001280e+01	1.865905e-01
7.640000000001282e+01	1.861508e-01
7.650000000001285e+01	1.857121e-01
7.660000000001287e+01	1.852744e-01
7.670000000001289e+01	1.848377e-01
7.680000000001291e+01	1.844020e-01
7.690000000001294e+01	1.839674e-01
7.700000000001296e+01	1.835337e-01
7.710000000001298e+01	1.831010e-01
7.720000000001301e+01	1.826693e-01
7.730000000001303e+01	1.822387e-01
7.740000000001305e+01	1.818090e-01
7.750000000001307e+01	1.813803e-01
7.760000000001310e+01	1.809526e-01
7.770000000001312e+01	1.805259e-01
7.780000000001314e+01	1.801001e-01
7.790000000001316e+01	1.796754e-01
7.800000000001319e+01	1.792516e-01
7.810000000001321e+01	1.788289e-01
7.820000000001323e+01	1.784071e-01
7.830000000001326e+01	1.779863e-01
7.840000000001328e+01	1.775664e-01
7.850000000001330e+01	1.771476e-01
7.860000000001332e+01	1.767297e-01
7.870000000001335e+01	1.763128e-01
7.880000000001337e+01	1.758968e-01
7.890000000001339e+01	1.754819e-01
7.900000000001342e+01	1.750679e-01
7.910000000001344e+01	1.746548e-01
7.920000000001346e+01	1.742427e-01
7.930000000001348e+01	1.738316e-01
7.940000000001351e+01	1.734215e-01
7.950000000001353e+01	1.730123e-01
7.960000000001355e+01	1.726041e-01
7.970000000001357e+01	1.721968e-01
7.980000000001360e+01	1.717905e-01
7.990000000001362e+01	1.713851e-01
8.000000000001364e+01	1.709807e-01
8.010000000001367e+01	1.705772e-01
8.020000000001369e+01	1.701747e-01
8.030000000001371e+01	1.697731e-01
8.040000000001373e+01	1.693725e-01
8.050000000001376e+01	1.689728e-01
8.060000000001378e+01	1.685741e-01
8.070000000001380e+01	1.681763e-01
8.080000000001382e+01	1.677794e-01
8.090000000001385e+01	1.673835e-01
8.100000000001387e+01	1.669885e-01
8.110000000001389e+01	1.665944e-01
8.120000000001392e+01	1.662013e-01
8.130000000001394e+01	1.658091e-01
8.140000000001396e+01	1.654178e-01
8.150000000001398e+01	1.650275e-01
8.160000000001401e+01	1.646381e-01
8.170000000001403e+01	1.642496e-01
8.180000000001405e+01	1.638620e-01
8.190000000001407e+01	1.634753e-01
8.200000000001410e+01	1.630896e-01
8.210000000001412e+01	1.627048e-01
8.220000000001414e+01	1.623208e-01
8.230000000001417e+01	1.619378e-01
8.240000000001419e+01	1.615558e-01
8.250000000001421e+01	1.611746e-01
8.260000000001423e+01	1.607943e-01
8.270000000001426e+01	1.604149e-01
